tipologia,modello,ore impiegate,prezzo,peso,design mio,perline,rimaste,regalate,passaparola aut 23,passaparola inv 23,passaparola prim 24,passaparola est 24,passaparola aut 24,passaparola inv 24,passaparola prim 25,passaparola est 25,passaparola aut 25,passaparola inv 25,passaparola prim 26,passaparola est 26,mercatino est 24,mercatino inv 24,mercatino aut 25,mercatino prim 26,mercatino est 26
ciondolo,sole cerchietti,2,25,,TRUE,TRUE,,,,,,,,1,,,,,,,,,,,
ciondolo,acchiappasogni,6,40,,TRUE,TRUE,,,,,,,1,,,,,,,,,,,,
ciondolo,pietra incastonata,4,35,,TRUE,TRUE,,,,,,,,1,,,,,,,,,,,
altro,squame pesce,3,40,,TRUE,FALSE,1,,,,,,,1,,,,,,,,,,,
ciondolo,pentacolo maschile,4,40,,TRUE,FALSE,,,1,,,,,,,,,,,,,,,,
ciondolo,ying yang (laura),4,35,,TRUE,FALSE,,,,1,,,,,,,,,,,,,,,
orecchini,tre riccioli,1,15,2.9,TRUE,TRUE,,1,,,,,,,1,,,1,,,,,,,
orecchini,"foglia riccioli (elena, perla)",1,15,,TRUE,TRUE,,1,,1,,,,,,,,1,,,,,,,
bracciale,fusilli,4,35,,FALSE,FALSE,,,,,1,,,,,,,,,,,,,,
anello,fusilli,2,25,2.8,FALSE,FALSE,1,,,,,,,,,,,,,,,,,,
ciondolo,spada,4,35,3.2,TRUE,FALSE,1,,,,,,,,,,,,,,,,,,
orecchini,tre cerchi (lara),5,35,,TRUE,FALSE,,,1,,,,,,,,,,,,,,,,
bracciale,spirali (quello brutto),2,20,,FALSE,FALSE,,,,,,1,,,,,,,,,,,,,
ciondolo,luna spirali,4,25,,TRUE,FALSE,,,,1,,,,,,,,,,1,,,,,
ciondolo,longobardo,6,40,,TRUE,FALSE,,1,,,,1,,,,,,,,,,,,,
ciondolo,foglia,2,20,3.2,TRUE,FALSE,1,,,,,,,,,,,,,,,,,,
bracciale,bizantina,12,60,10,FALSE,FALSE,1,,,,,,,,,,,,,,,,,,
orecchini,di tania,2,20,7.4,TRUE,FALSE,,1,,,,,1,,,,,,,,,,,,
ciondolo,spirale per tania,3,30,,TRUE,FALSE,,,,,,,,,,,,,,1,,,,,
ciondolo,trischele bonus,4,30,3.8,TRUE,FALSE,1,,,,,,,,,,,,,,,,,,
ciondolo,ranelle,3,25,5,TRUE,FALSE,1,,,,,,,,,,,,,,,,,,
orecchini,triangolo,2,20,3,TRUE,FALSE,1,,,,,,,,,,,,,,,,,,
ciondolo,miniluna,0.2,5,0.4,TRUE,FALSE,,1,,,,,,,,,,,,,,,,,
